Instituição,Sigla,Estado,Região,Categoria administrativa,Quantidade de dissertações na base
Universidade do Estado do Amazonas,UEA,AM,Norte,Estadual,10
Universidade Federal do Amapá,UNIFAP,AP,Norte,Federal,91
Universidade Federal do Oeste do Pará,UFOPA,PA,Norte,Federal,53
Universidade Federal do Pará,UFPA,PA,Norte,Federal,203
Universidade Federal de Rondônia,UNIR,RO,Norte,Federal,70
Universidade Federal de Roraima,UFRR,RR,Norte,Federal,29
Universidade Federal do Tocantins,UFT,TO,Norte,Federal,117
Universidade Federal do Espírito Santo,UFES,ES,Sudeste,Federal,155
Centro Federal de Educação Tecnológica de Minas Gerais,CEFET-MG,MG,Sudeste,Federal,38
Universidade Federal de Alfenas,UNIFAL,MG,Sudeste,Federal,2
Universidade Federal de Juiz de Fora,UFJF,MG,Sudeste,Federal,114
Universidade Federal de Lavras,UFLA,MG,Sudeste,Federal,38
Universidade Federal de Ouro Preto,UFOP,MG,Sudeste,Federal,39
Universidade Federal de São João del-Rei,UFSJ,MG,Sudeste,Federal,186
Universidade Federal de Uberlândia,UFU,MG,Sudeste,Federal,26
Universidade Federal de Viçosa,UFV,MG,Sudeste,Federal,113
Universidade Federal do Triângulo Mineiro,UFTM,MG,Sudeste,Federal,86
Universidade Federal dos Vales do Jequitinhonha e Mucuri,UFVJM,MG,Sudeste,Federal,54
Colégio Pedro II,CPII,RJ,Sudeste,Federal,69
Instituto de Matemática Pura e Aplicada,IMPA,RJ,Sudeste,Particular,131
Pontifícia Universidade Católica do Rio de Janeiro,PUC,RJ,Sudeste,Particular,78
Universidade Estadual do Norte Fluminense Darcy Ribeiro,UENF,RJ,Sudeste,Estadual,131
Universidade Federal Fluminense,UFF,RJ,Sudeste,Federal,90
Universidade Federal Rural do Rio de Janeiro,UFRRJ,RJ,Sudeste,Federal,133
Universidade Federal do Estado do Rio de Janeiro,UNIRIO,RJ,Sudeste,Federal,129
Universidade Federal do Rio de Janeiro,UFRJ,RJ,Sudeste,Federal,79
Universidade do Estado do Rio de Janeiro,UERJ,RJ,Sudeste,Estadual,164
Instituto Federal de São Paulo,IFSP,SP,Sudeste,Federal,53
Universidade Estadual Paulista Júlio de Mesquita Filho,UNESP,SP,Sudeste,Estadual,276
Universidade Estadual de Campinas,UNICAMP,SP,Sudeste,Estadual,87
Universidade Federal de São Carlos,UFSCAR,SP,Sudeste,Federal,116
Universidade Federal de São Paulo,UNIFESP,SP,Sudeste,Federal,52
Universidade Federal do ABC,UFABC,SP,Sudeste,Federal,147
Universidade de São Paulo,USP,SP,Sudeste,Estadual,165
Universidade Estadual de Londrina,UEL,PR,Sul,Estadual,79
Universidade Estadual de Maringá,UEM,PR,Sul,Estadual,104
Universidade Estadual de Ponta Grossa,UEPG,PR,Sul,Estadual,53
